Asia%India%ITC,16427,472,19383.1,497,22380,352,34821.8,224,46988.64,208
Asia%India%ITC,0,0,0,0,22380,352,34821.8,224,46988.64,208
North America%US%Emerson Electric,34406.1,197,40443.7,207,37878.1,186,38322.9,203,46959.41,209
Asia%China%Bank of Communications,0,0,63880.4,105,58930.1,101,46520.6,153,46744.78,210
North America%Canada%Canadian National Railway,24401.7,296,0,0,28603.1,264,34924.7,223,46521.64,211
North America%Canada%Canadian National Railway,0,0,0,0,28603.1,264,34924.7,223,46521.64,211
Asia%China%China Shenhua Energy,0,0,107653.7,52,84505.7,60,81394.3,70,46493.18,212
North America%US%PNC Financial Services,19846.5,386,22344.6,413,30889.3,241,34022.9,228,46463.59,213
North America%US%PNC Financial Services,0,0,0,0,30889.3,241,34022.9,228,46463.59,213
Asia%Singapore%Singapore Telecom,0,0,45169.6,178,36124.9,200,39939.2,185,46276.04,214
Africa%South Africa%Naspers,0,0,0,0,17492.3,454,23121.6,380,45926.36,215
South America%Mexico%AMX,0,0,0,0,51517.5,126,66045.1,94,45783.34,216
Europe%Germany%Deutsche Bank,58688.3,101,60259.3,115,47911.8,141,46174.7,154,45764.34,217
Europe%Switzerland%Zurich Financial Services,33747.6,200,46024.3,173,37851.3,187,39558.8,188,45745.61,218
Asia%India%Oil & Natural Gas,41899.6,158,52317.6,148,52334.3,124,45065.5,157,45655.03,219
Europe%Germany%Henkel,16255.3,479,19331.2,500,21669.1,366,29225.2,285,45536.72,220
Europe%Germany%Deutsche Post,29862.3,226,37179.8,228,21014.2,376,23240,379,45248.09,221
Europe%France%Vinci,19509.8,392,35333.7,241,30890.8,240,29508.8,282,44865.66,222
Europe%France%Danone,32329.4,213,46027.4,172,39046.2,176,44729.3,159,44641.85,223
Europe%Spain%Iberdrola,29065.6,235,77703.1,83,44597.6,152,33859,231,44588.17,224
North America%US%Capital One Financial,24245,301,0,0,18898.4,413,32335.3,254,44193.91,225
North America%US%Capital One Financial,0,0,0,0,18898.4,413,32335.3,254,44193.91,225
North America%Canada%Valeant Pharmaceuticals International,0,0,0,0,0,0,0,0,44125.76,226
Europe%Sweden%Ericsson,61252.8,99,31793.6,281,34564.7,214,33779.7,232,43763.46,227
North America%US%Phillips 66,0,0,0,0,0,0,0,0,43708.29,228
Australia%Australia%Wesfarmers,0,0,25551.2,356,33773,222,36121.4,214,43646.15,229
North America%US%Anadarko Petroleum,23276.8,315,29502.1,307,36477.2,198,39608.1,187,43403.59,230
North America%US%Anadarko Petroleum,0,0,0,0,36477.2,198,39608.1,187,43403.59,230
North America%Canada%Bank of Montreal,28589.9,242,22364.8,411,33904.2,221,37995.9,204,43202.35,231
North America%US%TJX Cos,0,0,0,0,17407.1,460,29952.5,273,43134.2,232
Asia%Hong Kong%Jardine Matheson,0,0,19601.7,487,21247.1,372,33117.2,240,42931.62,233
Asia%Japan%Denso,34841.2,191,28600,315,26349.9,291,29703.5,279,42475.78,234
Asia%Japan%Denso,0,0,0,0,26349.9,291,29703.5,279,42475.78,234
Europe%France%Air Liquide,22692.2,322,36116.1,237,31790.4,233,37791.6,205,42409.65,235
Europe%France%Air Liquide,0,0,0,0,31790.4,233,37791.6,205,42409.65,235
Asia%Japan%Fanuc,22998.8,317,22811.4,405,25427.2,305,42724.1,165,42338.62,236
Asia%Japan%Fanuc,0,0,0,0,25427.2,305,42724.1,165,42338.62,236
North America%Canada%Canadian Natural Resources,0,0,36999.1,230,40205.6,169,36397.2,213,41868.84,237
South America%Mexico%Walmex,0,0,35711.7,240,45870.8,150,59646,111,41799.12,238
North America%US%Kimberly-Clark,26637.2,263,27127.6,333,26166.2,295,29064,294,41749.93,239
North America%US%Kimberly-Clark,0,0,0,0,26166.2,295,29064,294,41749.93,239
North America%US%Nextera Energy,0,0,0,0,0,0,0,0,41631.28,240
Australia%Australia%Woolworths,0,0,32154,277,31868.1,232,33020.7,242,41538.24,241
Europe%Netherlands%Asml Holding,0,0,0,0,0,0,20954.9,427,41402.04,242
Asia%Japan%Canon,58677.5,102,61499.8,110,61806.4,93,63369.7,100,41326.73,243
North America%US%Dominion Resources,23986.5,306,23476.5,393,24552.6,321,29221.6,286,41288.07,244
Asia%China%China Merchants Bank,0,0,64469.5,103,52710.4,121,41378.1,175,40900.16,245
North America%US%McKesson,15958.4,496,0,0,17704.5,449,21600.6,410,40633.47,246
North America%US%McKesson,0,0,0,0,17704.5,449,21600.6,410,40633.47,246
Asia%Japan%Nissan Motor,53563.5,122,37424.7,227,38753.1,179,48396,142,40385.04,247
Asia%Hong Kong%Jardine Strategic,0,0,0,0,21301.2,370,0,0,40174.29,248
Europe%Netherlands%Heineken,18571.7,410,28563.1,317,25227.5,309,31966,256,40106.07,249
North America%US%Bank of New York Mellon,0,0,47629.3,165,37315.3,192,28982,297,40062.93,250
Europe%UK%Tesco,44977.8,146,59130.9,120,52743.9,120,42362.4,169,39873.59,251
North America%US%Baxter International,25167.7,281,36682.4,233,34886.5,210,33257.3,238,39802.05,252
North America%Canada%Imperial Oil,35853.5,184,47363.1,167,32774.2,229,38436.6,201,39533.19,253
Europe%France%Credit Agricole,58185,105,51857.4,149,40678.1,168,0,0,39459.74,254
Europe%Germany%Munich Re,32506.9,210,43486.4,188,32093.6,230,26998.4,313,39340.66,255
Europe%Germany%Munich Re,0,0,0,0,32093.6,230,26998.4,313,39340.66,255
North America%US%Fedex,34459.8,196,28733.6,313,29251.9,258,29001.2,296,39173.62,256
North America%US%Fedex,0,0,0,0,29251.9,258,29001.2,296,39173.62,256
Europe%France%Orange,0,0,0,0,0,0,0,0,39136.35,257
Europe%Germany%E On,0,0,0,0,74013.6,73,47856.6,144,39034.53,258
North America%US%Liberty Global,0,0,0,0,0,0,0,0,39024.25,259
North America%US%Prudential Financial,37526,176,34743,245,28162.5,268,29666.5,281,39021.88,260
North America%US%Southern,0,0,0,0,26535,288,38935.2,196,39016.1,261
North America%US%DIRECTV,21017,353,28488.6,318,31617.1,234,33383.9,236,38970.59,262
North America%US%DirecTV,0,0,0,0,31617.1,234,33383.9,236,38970.59,262
Europe%UK%Imperial Tobacco,20688.5,365,31211.8,287,31044.9,239,40404.5,181,38824.19,263
Asia%Japan%Fast Retailing,0,0,0,0,18447.1,429,24309.5,357,38557.71,264
